Id_Imovel	Idade_imovel	Distancia_metro_Km	Comercios_proximos	Mil_reais_m2
74	13.8	2.028581234	0	4
75	6.8	1.449032347	10	10.88
76	12.3	1.760440053	1	5.9
77	35.9	1.567338715	3	7.36
78	20.5	1.876110608	3	5.12
79	38.2	1.540608335	2	5.96
80	18	1.77005978	1	5.3
81	11.8	1.532087106	4	8.06
82	30.8	1.447897132	6	7.36
83	13.2	1.224038818	7	9.62
84	25.3	1.928399518	3	3.54
85	15.1	1.45141389	7	8.74
86	0	1.4214374	9	10.16
87	1.8	1.7770231	1	5.4
88	16.9	2.027657342	0	3.66
89	8.9	1.768605686	0	9.6
90	23	2.020433199	0	5.06
91	0	1.36953561	1	9.08
92	9.1	1.767838747	0	8.64
93	20.6	1.905974455	4	4.36
94	31.9	1.718713078	0	3.22
95	40.9	1.249590542	5	8.2
96	8	1.135057941	5	10.36
97	6.4	1.099122285	9	11.9
98	28.4	1.567750814	3	6.92
99	16.4	1.382800933	5	10.2
100	6.4	1.099122285	9	12.44
101	17.5	1.67663742	4	7.64
102	12.7	1.25324612	1	6.58
103	1.1	1.284758753	6	10.88
104	0	1.302740403	6	9.14
105	32.7	1.457179661	6	6.1
106	0	1.385878854	6	14.2
107	17.2	1.279579041	8	9.42
108	12.2	1.760440053	1	5.32
109	31.4	1.557690334	2	6.82
110	4	1.87185848	3	5.68
111	8.1	1.135057941	5	10.32
112	33.3	1.288551408	7	7.88
113	9.9	1.866697149	3	4.62
114	14.8	1.457685639	6	1.52
115	30.6	1.212289068	8	10.66
116	20.6	1.61123988	2	9.28
117	30.9	2.138161613	1	2.44
118	13.6	2.035379259	0	2.6
119	25.3	1.797572444	3	6.12
120	16.6	1.382800933	5	11.92
121	13.3	1.512454621	5	6.26
122	13.6	1.512454621	5	9.6
123	31.5	1.470782729	4	6.5
124	0	1.2742579	0	9.1
125	9.9	1.374085838	7	11.48
126	1.1	1.284758753	6	9.72
127	38.6	1.632375529	4	12.58
128	3.8	1.45178403	5	11
129	41.3	1.178022156	6	12.14
130	38.5	1.312429875	7	8.2
131	29.6	1.533023243	8	7.5
132	4	1.87185848	3	6.14
133	26.6	1.507713241	5	7.5
134	18	1.445037633	8	7.9
135	33.4	1.276274537	6	8.44
136	18.9	1.687636125	0	4.16
137	11.4	1.456009608	5	9.36
138	13.6	1.406678124	6	9.48
139	10	1.670935885	0	8.7
140	12.9	1.512454621	5	8.5
141	16.2	1.382800933	5	10.28
142	5.1	1.793863165	3	5.78
143	19.8	1.576736937	5	7.5
144	13.6	1.512454621	5	8.02
145	11.9	1.760440053	1	5.68
146	2.1	1.491242274	5	9.1
147	0	1.2742579	0	10.44
148	3.2	1.511287399	8	8.64
149	16.4	2.009864933	0	9.02
150	34.9	1.266265539	8	7.94
151	35.8	1.254108224	7	9.7
152	4.9	1.454256494	9	8.94
153	12	1.760440053	1	5.78
154	6.5	1.446845616	6	8.18
155	16.9	2.027657342	0	4.14
156	13.8	2.028581234	0	3.12
157	30.7	1.742695405	0	3.66
158	16.1	1.635760476	4	7.12
159	11.6	1.456009608	5	7.88
160	15.5	1.635760476	4	7.48
161	3.5	0.95281792	8	11.56
162	19.2	1.567338715	3	7.92
163	16	2.027657342	0	2.32
164	8.5	1.135057941	5	11.1
165	0	1.2742579	0	11.04
166	13.7	1.737200336	1	6.12
167	0	1.385878854	6	14.72
168	28.2	1.414958604	8	8.68
169	27.6	1.523540357	5	7.48
170	8.4	1.849908983	1	4.7
171	24	2.053863144	0	2.88
172	3.6	1.45178403	5	11.76
173	6.6	1.099122285	9	11.62
174	41.3	1.462975927	4	7.02
175	4.3	1.48063059	7	9.04
176	30.2	1.502304792	3	7.3
177	13.9	2.056334369	0	3.84
178	33	1.268461984	9	8.4
179	13.1	1.718309838	4	7.34
180	14	1.484447971	1	8.52
181	26.9	2.049600428	0	3.1
182	11.6	1.295013032	8	11.18
183	13.5	1.87185848	3	4.72
184	17	2.028581234	0	3.76
185	14.1	1.919971299	0	4.36
186	31.4	1.775592338	3	4.3
187	20.9	1.876110608	3	5.14
188	8.9	1.95971542	0	4.4
189	34.8	1.280248985	8	8.86
190	16.3	2.027657342	0	4.1
191	35.3	1.567407222	8	8.46
192	13.2	1.615225858	2	7.56
193	43.8	0.988956703	7	8.54
194	9.7	1.474593225	5	9.86
195	15.2	2.009303143	0	5.86
196	15.2	1.49651496	5	6.92
197	22.8	1.601110125	2	7.32
198	34.4	1.181390246	8	9.64
199	34	1.234590192	7	7.82
200	18.2	1.49145743	8	6.32
201	17.4	1.684355433	0	5.1
202	13.1	1.544788954	5	9.18
203	38.3	1.577532183	3	6.3
204	15.6	1.382800933	5	9.22
205	18	1.77005978	1	5.32
206	12.8	1.776002657	3	4.28
207	22.2	1.449032347	10	8.8
208	38.5	1.58587819	3	6.84
209	11.5	1.760440053	1	5.24
210	34.8	1.261009673	8	8.18
211	5.2	1.456009608	5	10.44
212	0	1.36953561	1	8.7
213	17.6	1.829571449	2	6.22
214	6.2	1.099122285	9	11.6
215	18.1	1.826514149	3	4.18
216	19.2	1.451688989	8	9.62
217	37.8	1.557042388	1	7.94
218	28	1.444534301	6	8.16
219	13.6	1.512454621	5	8.76
220	29.3	1.530389428	8	8.04
221	37.2	1.27567548	9	15.66
222	9	1.767838747	0	7.7
223	30.6	1.480106465	10	9.7
224	9.1	1.767838747	0	8.46
225	34.5	1.411126806	6	9.2
226	1.1	1.284758753	6	9.8
227	16.5	2.028581234	0	2.56
228	32.4	1.361430151	8	8.04
229	11.9	1.966989494	0	9.32
230	31	1.720849769	0	3.8
231	4	1.87185848	3	6.68
232	16.2	2.028145773	0	2.94
233	27.1	2.047590337	1	3.48
234	39.7	1.41737291	9	6.48
235	8	1.879600944	4	4.78
236	12.9	1.347772352	7	7.86
237	3.6	1.445328365	10	12.38
238	13	1.609559973	0	7.8
239	12.8	1.609559973	0	8.12
240	18.1	1.642191345	0	5.94
241	11	1.816665199	2	5.76
242	13.7	1.347772352	7	8.28
243	2	1.863774178	3	6.68
244	32.8	1.297748872	8	9.64
245	4.8	1.793863165	3	4.34
246	7.5	1.576360618	5	8.16
247	16.4	1.455542828	6	8.12
248	21.7	1.698471932	0	4.62
249	19	1.687636125	0	4.46
250	18	2.134699159	1	3
251	39.2	1.476458292	7	6
252	31.7	1.721490743	0	2.76
253	5.9	1.099122285	9	10.54
254	30.4	1.819914826	2	5.18
255	1.1	1.414876766	5	10.36
256	31.5	2.101860788	1	3.48
257	14.6	1.421625193	1	5.3
258	17.3	1.487367098	1	8.78
259	0	1.385878854	6	12.66
260	17.7	1.642191345	0	5.76
261	17	1.781884731	4	6.14
262	16.2	1.887336016	3	4.88
263	15.9	1.382800933	5	10.6
264	3.9	1.87185848	3	6.34
265	32.6	1.513160281	7	8.12
266	15.7	1.635760476	4	7.62
267	17.8	1.826514149	3	4.74
268	34.7	1.507713241	5	8.22
269	17.2	1.456009608	5	8.02
270	17.6	1.642191345	0	4.6
271	17.7	1.49145743	8	5.3
272	13	1.512454621	5	8.1
273	13.2	1.25324612	1	5.86
274	27.5	1.458154658	7	8.2
275	1.5	0.769043403	7	9.94
276	19.1	1.49651496	5	6.8
277	21.2	1.876110608	3	5.54
278	0	1.302740403	6	8.8
279	2.6	1.792989256	3	6.22
280	2.3	1.272807019	6	9.08
281	4.7	1.454256494	9	8.96
282	2	1.7770231	1	5.12
283	33.5	1.851895275	2	4.7
284	15	1.45141389	7	6.88
285	30.1	1.604664077	3	11.06
286	5.9	1.099122285	9	11.26
287	19.2	1.49651496	5	6.58
288	16.6	1.410185895	6	10.2
289	13.9	1.382800933	5	8.9
290	37.7	1.511517639	0	7.4
291	3.4	0.984185658	7	10.88
292	17.5	1.45917881	5	4.9
293	12.6	1.45141389	7	8.5
294	26.4	1.418948237	6	7.62
295	18.2	1.875491464	3	4.36
296	12.5	1.718309838	4	6.82
297	34.9	1.546971792	4	5.7
298	16.7	2.028581234	0	3.34
299	33.2	1.171564081	10	9.22
300	2.5	1.232474104	4	7.38
301	38	1.496876199	0	7.14
302	16.5	1.887336016	3	4.64
303	38.3	1.484925189	0	7.68
304	20	1.804012758	3	5.88
305	16.2	1.382800933	5	11
306	14.4	1.253032917	1	10.04
307	10.3	1.959851239	0	4.94
308	16.4	1.382800933	5	10.6
309	30.3	1.742695405	0	3.82
310	16.4	1.806612047	2	4.94
311	21.3	1.534055312	4	8.44
312	35.4	1.406263624	9	15.6
313	8.3	1.135057941	5	8.56
314	3.7	1.551628601	6	8.32
315	15.6	1.822823679	2	5.46
316	13.3	1.347772352	7	8.4
317	15.6	1.616101413	2	7.5
318	7.1	1.449032347	10	9.96
319	34.6	1.368343021	5	5.38
320	13.5	2.035379259	0	3.72
321	16.9	1.67663742	4	7.54
322	12.9	1.276943973	1	6.62
323	28.6	1.289191626	6	8.5
324	12.4	1.816665199	2	6.26
325	36.6	1.510757497	8	7.62
326	4.1	0.984185658	7	12.42
327	3.5	1.617578414	3	7.34
328	15.9	1.783948651	3	4.72
329	13.6	2.035379259	0	3.84
330	32	1.720926767	0	2.56
331	25.6	2.053431825	0	3.12
332	39.8	1.567857878	2	7.92
333	7.8	1.135057941	5	7.68
334	30	1.68862675	5	4.56
335	27.3	1.420451964	6	7.3
336	5.1	1.837751974	2	7.12
337	31.3	1.561108754	5	6.18
338	31.5	1.355018365	9	7.26
339	1.7	1.414876766	5	10.08
340	33.6	1.366737175	0	8.58
341	13	1.615225858	2	7.4
342	5.7	1.099122285	9	10.7
343	33.5	1.545353087	8	9.32
344	34.6	1.960269157	0	8.24
345	0	1.2742579	0	7.58
346	13.2	1.816665199	2	6.16
347	17.4	2.141636094	1	2.24
348	4.6	1.356407991	6	10.74
349	7.8	1.135057941	5	9.4
350	13.2	1.512454621	5	8.46
351	4	1.875564775	3	5.72
352	18.4	1.925459244	3	5.14
353	4.1	1.87185848	3	6.26
354	12.2	1.760440053	1	6.02
355	3.8	1.45178403	5	12.14
356	10.3	1.306293339	1	9.06
357	0	1.4214374	9	8.98
358	1.1	1.284758753	6	9.02
359	5.6	1.899907606	0	4.94
360	32.9	1.090463645	10	9.42
361	41.4	1.37585564	8	12.66
362	17.1	1.677306788	4	8
363	32.3	1.146728909	10	9.6
364	35.3	1.566442113	7	6.62
365	17.3	1.884485131	4	5.9
366	14.2	1.829013974	1	4.96
367	15	1.832613468	2	4.18
368	18.2	1.429844572	1	8.62
369	20.2	1.876110608	3	4.56
370	15.9	1.382800933	5	8.42
371	4.1	1.401910353	5	10.34
372	33.9	1.234590192	7	8.3
373	0	1.36953561	1	10.44
374	5.4	1.456009608	5	9.9
375	21.7	1.721182056	0	4.76
376	14.7	1.817314106	2	6.1
377	3.9	0.95281792	8	11.36
378	37.3	1.555783356	8	7.48
379	0	1.385878854	6	13.94
380	14.1	1.382800933	5	10.66
381	8	1.192342458	9	9.46
382	16.3	1.99310172	0	5.86
383	29.1	1.519240839	4	8.06
384	16.1	2.027657342	0	2.58
385	18.3	1.077799682	10	9.32
386	0	1.2742579	0	11.06
387	16.2	1.866828018	3	5.12
388	10.4	1.883458668	4	5.46
389	40.9	1.172834951	8	13.54
390	32.8	1.447919476	9	7.72
391	6.2	1.847048054	1	6.26
392	42.7	1.487184975	6	7.06
393	16.9	1.677306788	4	8.06
394	32.6	2.031802801	1	4.94
395	21.2	1.52232311	4	8.5
396	37.1	1.664687258	1	6.38
397	13.1	1.722621084	4	6.44
398	14.7	1.817314106	2	4.6
399	12.7	1.25324612	1	7.46
400	26.8	1.507713241	5	7.1
401	7.6	1.874980478	3	5.54
402	12.7	1.276943973	1	5.7
403	30.9	1.241213201	9	7.94
404	16.4	1.382800933	5	8.24
405	23	1.189468012	6	7.44
406	1.9	1.444216135	7	8.1
407	5.2	1.899907606	0	4.46
408	18.5	1.875060559	3	5.62
409	13.7	2.028581234	0	3.08
410	5.6	1.099122285	9	10
411	18.8	1.456260107	7	8.12
412	8.1	1.135057941	5	10.5
413	6.5	1.099122285	9	12.78
